event_id,start_date,end_date
1,2022-01-28 11:45:00,2022-01-28 15:04:48
2,2022-01-30 14:50:00,2022-01-30 18:09:48
3,2022-02-02 07:55:00,2022-02-03 13:35:12
4,2022-02-05 10:25:00,2022-02-05 15:50:12
5,2022-02-06 13:30:00,2022-02-06 19:40:12
6,2022-02-07 11:10:00,2022-02-07 19:59:48
7,2022-02-08 14:25:00,2022-02-09 09:44:48
8,2022-02-17 04:50:00,2022-02-20 00:00:11
9,2022-02-22 01:30:00,2022-02-24 00:00:00
10,2022-02-22 21:35:00,2022-02-23 00:54:48
11,2022-02-24 15:55:00,2022-02-26 23:59:48
12,2022-03-06 02:55:00,2022-03-06 07:25:00
13,2022-03-06 14:25:00,2022-03-06 18:29:48
14,2022-03-06 22:10:00,2022-03-09 10:14:48
15,2022-03-18 13:55:00,2022-03-18 18:05:12
16,2022-03-18 23:05:00,2022-03-20 07:00:12
17,2022-03-22 10:10:00,2022-03-22 17:05:12
18,2022-03-23 13:25:00,2022-03-23 16:55:00
19,2022-03-31 01:40:00,2022-03-31 04:59:48
20,2022-03-31 21:15:00,2022-04-01 00:34:48
21,2022-04-01 08:15:00,2022-04-01 11:34:48
22,2022-04-05 10:10:00,2022-04-05 18:59:48
23,2022-04-06 09:30:00,2022-04-06 21:00:00
24,2022-04-08 14:10:00,2022-04-08 17:29:48
25,2022-04-11 09:05:00,2022-04-11 18:05:00
26,2022-04-11 21:10:00,2022-04-12 00:50:12
27,2022-04-13 07:45:00,2022-04-15 12:00:00
28,2022-04-16 00:25:00,2022-04-16 04:40:00
29,2022-04-18 04:40:00,2022-04-20 08:59:48
30,2022-04-21 01:15:00,2022-04-21 09:04:48
31,2022-04-25 11:30:00,2022-04-25 17:40:12
32,2022-04-30 10:50:00,2022-04-30 14:09:48
33,2022-05-03 03:50:00,2022-05-04 03:00:12
34,2022-05-05 14:30:00,2022-05-06 14:10:12
35,2022-05-06 14:10:00,2022-05-08 13:59:48
36,2022-05-14 17:30:00,2022-05-15 01:40:12
37,2022-05-16 00:25:00,2022-05-16 16:10:00
38,2022-05-18 15:25:00,2022-05-18 23:59:48
39,2022-05-19 18:40:00,2022-05-21 13:29:48
40,2022-05-21 13:30:00,2022-05-23 08:00:00
41,2022-05-25 15:45:00,2022-05-26 06:19:48
42,2022-05-26 06:20:00,2022-05-27 08:24:48
43,2022-05-27 08:25:00,2022-05-29 23:59:48
44,2022-06-01 21:35:00,2022-06-02 01:00:12
45,2022-06-02 07:55:00,2022-06-02 13:05:12
46,2022-06-06 11:10:00,2022-06-08 13:40:00
47,2022-06-08 13:40:00,2022-06-11 06:35:11
48,2022-06-11 06:35:00,2022-06-11 09:54:48
49,2022-06-11 23:35:00,2022-06-12 05:24:48
50,2022-06-13 15:35:00,2022-06-15 00:00:11
51,2022-06-22 14:55:00,2022-06-22 23:05:12
52,2022-06-26 16:50:00,2022-06-26 23:39:48
53,2022-07-01 14:15:00,2022-07-01 17:34:48
54,2022-07-02 05:15:00,2022-07-02 08:40:12
55,2022-07-05 11:25:00,2022-07-05 16:40:00
56,2022-07-06 13:00:00,2022-07-06 21:45:00
57,2022-07-08 11:20:00,2022-07-08 15:30:12
58,2022-07-09 09:15:00,2022-07-09 13:10:12
59,2022-07-15 22:55:00,2022-07-16 03:55:00
60,2022-07-17 05:30:00,2022-07-19 03:00:00
61,2022-07-20 20:50:00,2022-07-21 00:15:12
62,2022-07-24 20:40:00,2022-07-24 23:59:48
63,2022-07-27 04:35:00,2022-07-28 12:00:12
64,2022-07-29 02:20:00,2022-07-29 06:00:12
65,2022-07-31 04:10:00,2022-07-31 14:59:48
66,2022-08-01 09:55:00,2022-08-01 13:50:12
67,2022-08-04 03:35:00,2022-08-04 06:54:48
68,2022-08-04 16:35:00,2022-08-04 21:05:00
69,2022-08-05 02:25:00,2022-08-05 14:14:48
70,2022-08-05 17:05:00,2022-08-05 20:35:00
71,2022-08-05 23:45:00,2022-08-06 09:40:12
72,2022-08-09 12:40:00,2022-08-09 16:25:00
73,2022-08-09 20:35:00,2022-08-10 00:09:48
74,2022-08-14 07:15:00,2022-08-14 13:25:12
75,2022-08-20 13:50:00,2022-08-20 21:00:12
76,2022-08-21 13:00:00,2022-08-21 16:45:00
77,2022-08-29 12:35:00,2022-08-29 16:24:48
78,2022-08-29 20:55:00,2022-08-30 08:59:48
79,2022-09-03 05:10:00,2022-09-04 14:40:00
80,2022-09-04 14:40:00,2022-09-05 17:29:48
81,2022-09-05 17:30:00,2022-09-06 00:34:48
82,2022-09-06 09:20:00,2022-09-06 17:00:12
83,2022-09-11 04:50:00,2022-09-12 02:00:12
84,2022-09-19 05:10:00,2022-09-19 08:29:48
85,2022-09-21 18:10:00,2022-09-21 21:29:48
86,2022-09-24 03:15:00,2022-09-24 09:49:48
87,2022-10-06 13:40:00,2022-10-06 16:59:48
88,2022-10-25 18:40:00,2022-10-26 07:55:00
89,2022-10-30 13:50:00,2022-10-31 04:45:12
90,2022-10-31 15:15:00,2022-10-31 22:55:12
91,2022-11-11 06:00:00,2022-11-11 16:00:00
92,2022-11-12 12:30:00,2022-11-12 15:49:48
93,2022-11-13 12:10:00,2022-11-13 17:25:00
94,2022-11-14 09:45:00,2022-11-14 13:04:48
95,2022-11-25 03:40:00,2022-11-25 06:59:48
96,2022-11-26 22:30:00,2022-11-27 18:00:00
97,2022-11-27 18:00:00,2022-11-27 21:19:48
98,2022-11-29 21:20:00,2022-11-30 07:24:48
99,2022-12-02 18:40:00,2022-12-03 07:55:00
100,2022-12-06 08:25:00,2022-12-06 11:44:48
101,2022-12-06 17:40:00,2022-12-07 05:10:00
